parent_id,id,name,taxonomy_id
1010,10101,White 80gsm,1010
1010,10102,White 90gsm,1010
1010,10103,White 100gsm,1010
1010,10104,White 120gsm to 160gsm,1010
1010,10105,Colour 80gsm,1010
1010,10106,Colour 90gsm,1010
1010,10107,Colour 100gsm,1010
1010,10108,Colour 120gsm to 160gsm,1010
1010,10109,Less than 80gsm White/Colour,1010
1010,10100,Unspecified,1010
1011,10111,White 80gsm,1011
1011,10112,White 90gsm,1011
1011,10113,White 100gsm,1011
1011,10114,White 120gsm to 160gsm,1011
1011,10115,Colour 80gsm,1011
1011,10116,Colour 90gsm,1011
1011,10117,Colour 100gsm,1011
1011,10118,Colour 120gsm to 160gsm,1011
1011,10119,Less than 80gsm White/Colour,1011
1011,10110,Unspecified,1011
1012,10121,White 80gsm,1012
1012,10122,White 90gsm,1012
1012,10123,White 100gsm,1012
1012,10124,White 120gsm to 160gsm,1012
1012,10125,Colour 80gsm,1012
1012,10126,Colour 90gsm,1012
1012,10127,Colour 100gsm,1012
1012,10128,Colour 120gsm to 160gsm,1012
1012,10129,Less than 80gsm White/Colour,1012
1012,10120,Unspecified,1012
1013,10131,A4,1013
1013,10132,Other Size,1013
1013,10130,Unspecified,1013
1014,10141,White,1014
1014,10142,Single Colour,1014
1014,10143,Assorted Colours,1014
1014,10140,Unspecified,1014
1015,10151,A4,1015
1015,10152,Photo Size,1015
1015,10153,Other Sizes,1015
1015,10154,A3,1015
1015,10150,Unspecified,1015
1016,10161,Plain,1016
1016,10162,Ruled,1016
1016,10160,Unspecified,1016
1017,10170,Unspecified,1017
1018,10181,Remittance,1018
1018,10182,Invoice,1018
1018,10183,Other Monies,1018
1018,10184,Miscellaneous,1018
1018,10180,Unspecified,1018
1019,10191,Cards,1019
1019,10192,Pads,1019
1019,10193,Envelopes,1019
1019,10194,Paper,1019
1019,10195,Assorted ,1019
1019,10190,Unspecified,1019
1020,10201,Rolls,1020
1020,10200,Unspecified,1020
1021,10211,A4,1021
1021,10212,A3,1021
1021,10213,A2,1021
1021,10214,A1,1021
1021,10215,Rolls,1021
1021,10216,B1,1021
1021,10217,Assorted,1021
1021,10210,Unspecified,1021
1099,10990,Unspecified,1099
1110,11101,White Plain,1110
1110,11102,White Window,1110
1110,11103,Manila Plain,1110
1110,11104,Manila Window,1110
1110,11105,Gusset Plain & Window,1110
1110,11106,Other,1110
1110,11100,Unspecified,1110
1111,11111,White Plain,1111
1111,11112,White Window,1111
1111,11113,Manila Plain,1111
1111,11114,Manila Window,1111
1111,11115,Gusset Plain & Window,1111
1111,11116,Other,1111
1111,11110,Unspecified,1111
1112,11121,White Plain,1112
1112,11122,White Window,1112
1112,11123,Manila Plain,1112
1112,11124,Manila Window,1112
1112,11125,Gusset Plain & Window,1112
1112,11126,Other,1112
1112,11120,Unspecified,1112
1113,11131,White Plain,1113
1113,11132,White Window,1113
1113,11133,Manila Plain,1113
1113,11134,Manila Window,1113
1113,11135,Gusset Plain & Window,1113
1113,11136,Other,1113
1113,11130,Unspecified,1113
1114,11141,White Plain,1114
1114,11142,White Window,1114
1114,11143,Manila Plain,1114
1114,11144,Manila Window,1114
1114,11145,Gusset Plain & Window,1114
1114,11146,Other,1114
1114,11140,Unspecified,1114
1116,11161,DL,1116
1116,11162,C4,1116
1116,11163,C5,1116
1116,11164,B5,1116
1116,11165,Other,1116
1116,11160,Unspecified,1116
1117,11171,Board Back,1117
1117,11172,Other,1117
1117,11173,Plastic & Polythene,1117
1117,11170,Unspecified,1117
1118,11181,Bubble,1118
1118,11182,Padded,1118
1118,11183,Other ,1118
1118,11180,Unspecified,1118
1119,11190,Unspecified,1119
1120,11201,White Plain,1120
1120,11202,White Window,1120
1120,11203,Manila Plain,1120
1120,11204,Manila Window,1120
1120,11200,Unspecified,1120
1121,11211,3.5 Diskette,1121
1121,11212,CD/DVD,1121
1121,11213,Various Media,1121
1121,11210,Unspecified,1121
1199,11991,Plain,1199
1199,11992,Window,1199
1199,11990,Unspecified,1199
1210,12101,Index,1210
1210,12102,Ruled,1210
1210,12100,Unspecified,1210
1210,12103,Plain,1210
1210,12104,Recycled,1210
1211,12111,Duplicate,1211
1211,12112,Triplicate,1211
1211,12110,Unspecified,1211
1212,12121,A6,1212
1212,12122,A5,1212
1212,12123,A4,1212
1212,12124,8x5in,1212
1212,12125,127x203mm,1212
1212,12126,Other,1212
1212,12120,Unspecified,1212
1213,12131,Analysis Books,1213
1213,12132,Accounts Books,1213
1213,12130,Unspecified,1213
1214,12141,Plain,1214
1214,12142,Ruled,1214
1214,12143,Other,1214
1214,12140,Unspecified,1214
1215,12151,Plain,1215
1215,12152,Ruled,1215
1215,12153,Other,1215
1215,12150,Unspecified,1215
1216,12161,Analysis Paper,1216
1216,12162,Analysis Pads,1216
1216,12160,Unspecified,1216
1217,12171,A5,1217
1217,12172,A4,1217
1217,12173,A3,1217
1217,12174,A2,1217
1217,12175,A1,1217
1217,12176,A6,1217
1217,12170,Unspecified,1217
1218,12181,Yellow Standard Sizes,1218
1218,12182,Recycled,1218
1218,12183,Super Sticky,1218
1218,12184,Shapes & Cubes,1218
1218,12185,Large Format,1218
1218,12186,Z Notes,1218
1218,12187,Pre-printed,1218
1218,12188,Colour Standard Sizes,1218
1218,12189,Other,1218
1218,12180,Unspecified,1218
1219,12190,Unspecified,1219
1220,12201,Book,1220
1220,12202,Album,1220
1220,12203,Organiser/Holder,1220
1220,12204,Refills,1220
1220,12200,Unspecified,1220
1221,12210,Unspecified,1221
1222,12221,Atlas,1222
1222,12222,Dictionary/Thesaurus,1222
1222,12223,For Dummies' Books,1222
1222,12224,Assorted,1222
1222,12220,Unspecified,1222
1223,12230,Unspecified,1223
1224,12240,Unspecified,1224
1225,12250,Unspecified,1225
1226,12261,Photo Accessories,1226
1226,12260,Unspecified,1226
1299,12991,Book,1299
1299,12992,Pad,1299
1299,12993,Assorted,1299
1299,12994,Other,1299
1299,12990,Unspecified,1299
1310,13101,Address,1310
1310,13102,White A4 Sheet,1310
1310,13103,Filing,1310
1310,13104,Clear,1310
1310,13105,Media,1310
1310,13106,Coloured,1310
1310,13107,A5 Sheet,1310
1310,13108,Assorted,1310
1310,13109,Other,1310
1310,13100,Unspecified,1310
1311,13111,Address,1311
1311,13112,White A4 Sheet,1311
1311,13113,Filing,1311
1311,13114,Clear,1311
1311,13115,Media,1311
1311,13116,Coloured,1311
1311,13117,A5 Sheet,1311
1311,13118,Assorted,1311
1311,13119,Other,1311
1311,13110,Unspecified,1311
1312,13121,Address,1312
1312,13122,White A4 Sheet,1312
1312,13123,Filing,1312
1312,13124,Clear,1312
1312,13125,Media,1312
1312,13126,Coloured,1312
1312,13127,A5 Sheet,1312
1312,13128,Assorted,1312
1312,13129,Other,1312
1312,13120,Unspecified,1312
1313,13131,Address Labels Typist,1313
1313,13130,Unspecified,1313
1314,13141,1 Across,1314
1314,13142,2 Across,1314
1314,13143,3 Across,1314
1314,13144,4 Across,1314
1314,13145,102mm x,1314
1314,13146,89mm x,1314
1314,13147,Assorted,1314
1314,13140,Unspecified,1314
1315,13151,Tags,1315
1315,13152,Tickets,1315
1315,13150,Unspecified,1315
1316,13161,Dispenser,1316
1316,13162,Polybags,1316
1316,13163,Flat Pack,1316
1316,13164,Coloured,1316
1316,13165,Multipurpose,1316
1316,13166,Assorted,1316
1316,13160,Unspecified,1316
1317,13170,Unspecified,1317
1399,13991,Media,1399
1399,13992,Permanent,1399
1399,13993,Re-Usable,1399
1399,13994,Colour,1399
1399,13995,Assorted,1399
1399,13996,Multi-Purpose,1399
1399,13990,Unspecified,1399
1410,14101,A4 Size,1410
1410,14102,Foolscap (Legal) Size,1410
1410,14103,A5 Size,1410
1410,14104,A3 Size,1410
1410,14105,Other Sizes,1410
1410,14100,Unspecified,1410
1411,14111,A4 Size,1411
1411,14112,Foolscap (Legal) Size,1411
1411,14113,A5 Size,1411
1411,14114,A3 Size,1411
1411,14115,Other Sizes,1411
1411,14110,Unspecified,1411
1412,14121,A4 Size,1412
1412,14122,Foolscap (Legal) Size,1412
1412,14123,A5 Size,1412
1412,14124,A3 Size,1412
1412,14125,Other Sizes,1412
1412,14120,Unspecified,1412
1413,14131,A4,1413
1413,14132,Foolscap,1413
1413,14133,Pockets,1413
1413,14134,A3,1413
1413,14135,Other Sizes,1413
1413,14130,Unspecified,1413
1414,14141,Files,1414
1414,14142,Folders,1414
1414,14140,Unspecified,1414
1415,14151,1-31 Pocket,1415
1415,14152,A-Z,1415
1415,14153,1-31/A-Z,1415
1415,14150,Unspecified,1415
1416,14161,A3,1416
1416,14162,A4,1416
1416,14163,A5,1416
1416,14164,Other Sizes,1416
1416,14160,Unspecified,1416
1417,14171,A3,1417
1417,14172,A4,1417
1417,14173,A5,1417
1417,14174,Foolscap,1417
1417,14170,Unspecified,1417
1418,14181,A3,1418
1418,14182,A4,1418
1418,14183,A5,1418
1418,14184,Foolscap,1418
1418,14185,Other Sizes,1418
1418,14180,Unspecified,1418
1419,14191,A Sizes,1419
1419,14192,Passport/Credit Card,1419
1419,14193,Assorted,1419
1419,14190,Unspecified,1419
1420,14201,Card Index Storage,1420
1420,14202,Record Cards,1420
1420,14203,Guide Cards,1420
1420,14200,Unspecified,1420
1421,14211,Suspension File,1421
1421,14212,Tabs,1421
1421,14213,Inserts,1421
1421,14210,Unspecified,1421
1422,14221,Lateral File,1422
1422,14222,Tabs,1422
1422,14223,Inserts,1422
1422,14220,Unspecified,1422
1423,14231,Computer Binders,1423
1423,14232,Accessories,1423
1423,14233,A2 Size,1423
1423,14234,A1 Size,1423
1423,14230,Unspecified,1423
1424,14241,Expanding,1424
1424,14242,Cabinet etc,1424
1424,14243,Homefiles,1424
1424,14240,Unspecified,1424
1425,14251,Dividers,1425
1425,14252,Indexes,1425
1425,14253,Tabs,1425
1425,14250,Unspecified,1425
1426,14261,Reinforcements,1426
1426,14262,File/Strips/Labels/Tags/Tabs,1426
1426,14263,Suspension Tape/Files Etc,1426
