product_id,taxon_id,,,
66610,71134,,,
66607,71115,,,
66604,43152,,,
66609,71103,,,
66605,10101,,,
66608,71101,,,
66606,71101,,,
66611,71134,,,
66613,71101,,,
66612,71101,,,
66614,71101,,,
66615,71101,,,
75658,43173,,,
69691,60162,,,
81422,32123,,,
66616,71101,,,
66619,71103,,,
66617,71103,,,
66622,71101,,,
66618,71103,,,
66621,71103,,,
66620,71103,,,
66623,71101,,,
66624,71103,,,
66625,71101,,,
69692,60162,,,
66629,71103,,,
66626,71101,,,
66636,71103,,,
66627,71103,,,
66632,71103,,,
66630,71103,,,
66628,71103,,,
66635,71101,,,
66631,71101,,,
66633,71103,,,
66634,71101,,,
66637,71103,,,
69693,60162,,,
66638,71103,,,
75659,43173,,,
70532,43174,,,
87214,16240,,,
66643,71103,,,
66639,71101,,,
66645,71115,,,
66642,71103,,,
66640,71101,,,
66644,71101,,,
66641,71103,,,
81451,30133,,,
66646,71103,,,
66648,71103,,,
66647,71103,,,
77634,60256,,,
66649,71103,,,
69694,60163,,,
77651,14330,,,
66652,71103,,,
66655,71103,,,
66650,71103,,,
66654,71103,,,
66653,71103,,,
66651,71103,,,
66656,71103,,,
70310,43173,,,
66657,71103,,,
69695,60166,,,
75660,43174,,,
87215,18990,,,
70311,43172,,,
66666,71106,,,
66658,71101,,,
66661,71134,,,
66659,71140,,,
66663,71133,,,
66660,71134,,,
66665,71133,,,
66662,71134,,,
66664,71133,,,
66667,71106,,,
66668,71133,,,
66669,71106,,,
69696,60182,,,
81452,30133,,,
66674,71106,,,
66673,71133,,,
66670,71133,,,
66671,71106,,,
66678,71116,,,
66677,12182,,,
66672,71133,,,
66675,71115,,,
66676,12182,,,
66679,17137,,,
66680,12180,,,
75661,43174,,,
70312,43171,,,
87216,18990,,,
66683,12181,,,
66681,12181,,,
66685,12185,,,
66684,12181,,,
66682,12181,,,
66687,72122,,,
69697,60181,,,
70918,71111,,,
66686,12186,,,
75662,43174,,,
70919,71111,,,
81453,32102,,,
87217,18990,,,
66688,31160,,,
69698,60181,,,
66694,12182,,,
66689,40181,,,
66691,72121,,,
66693,12182,,,
66690,40181,,,
66692,31160,,,
66695,12182,,,
66696,62173,,,
75663,43174,,,
83396,43174,,,
66699,18190,,,
66697,72990,,,
66703,14253,,,
69699,63180,,,
66698,72112,,,
66702,14253,,,
66700,18190,,,
66704,14253,,,
66701,12188,,,
66705,14253,,,
70313,43174,,,
87218,16174,,,
77246,43174,,,
69700,63180,,,
69701,63180,,,
83149,70113,,,
66712,72990,,,
66706,14253,,,
66709,14253,,,
66707,14253,,,
66711,17164,,,
66708,14253,,,
70920,71111,,,
66710,17164,,,
66713,17182,,,
66714,12183,,,
66715,61220,,,
75664,43174,,,
69702,63180,,,
81454,32102,,,
66718,12182,,,
66716,61220,,,
66723,17196,,,
66717,12182,,,
66722,61220,,,
66719,72120,,,
66720,72122,,,
66721,61220,,,
66724,12181,,,
66725,12181,,,
75617,43173,,,
69703,63180,,,
87219,16171,,,
66726,12181,,,
66732,41101,,,
66729,73990,,,
66727,72140,,,
66734,12183,,,
66728,41110,,,
66731,41110,,,
66730,41110,,,
66733,41110,,,
71232,14302,,,
66735,41211,,,
69704,63180,,,
75665,43250,,,
66736,41110,,,
66742,41110,,,
66739,41110,,,
66737,41110,,,
66741,41110,,,
66738,41110,,,
66740,41212,,,
66743,41211,,,
66744,41211,,,
66745,41110,,,
87220,50101,,,
66746,41110,,,
66758,12188,,,
66747,41211,,,
66750,41211,,,
66748,41211,,,
69705,63180,,,
66749,41211,,,
66752,41211,,,
66751,41211,,,
66755,12183,,,
66754,12183,,,
66753,41212,,,
66756,41212,,,
66757,12188,,,
75666,43250,,,
81455,32102,,,
66764,41212,,,
66761,73990,,,
66759,12182,,,
66763,41212,,,
66760,73990,,,
66762,41212,,,
66765,41212,,,
66777,41212,,,
69706,60166,,,
66776,41212,,,
70314,43174,,,
81423,32123,,,
75667,43280,,,
66766,62100,,,
87221,18172,,,
66769,41212,,,
66767,12186,,,
66771,41110,,,
66768,41212,,,
66772,41212,,,
66770,41212,,,
66773,41212,,,
70315,43174,,,
66774,41212,,,
66775,41212,,,
69707,60166,,,
66778,41211,,,
66781,12184,,,
66783,12181,,,
66779,41110,,,
66808,17102,,,
66782,12181,,,
66780,41212,,,
66786,62100,,,
66785,41220,,,
66784,62100,,,
66787,17164,,,
75668,43200,,,
70316,43152,,,
87222,18165,,,
70716,70144,,,
66788,17164,,,
66794,40363,,,
66791,41220,,,
66789,41220,,,
66793,41213,,,
66790,41220,,,
66792,41220,,,
66795,12186,,,
66796,12187,,,
66797,41220,,,
69708,60166,,,
81456,32102,,,
67227,83110,,,
66798,40363,,,
66804,17182,,,
66799,61220,,,
66801,41220,,,
66803,41220,,,
66800,41220,,,
66802,41220,,,
66805,41220,,,
66806,41220,,,
66807,41220,,,
75618,43174,,,
69709,60162,,,
66809,17102,,,
66812,17182,,,
66810,41110,,,
66814,18261,,,
66811,17164,,,
66817,18261,,,
66813,41220,,,
66816,18261,,,
66815,18261,,,
66818,18261,,,
66819,18261,,,
70317,43152,,,
81457,32101,,,
87162,41110,,,
66820,18261,,,
66823,12182,,,
66821,18261,,,
69710,60166,,,
66825,41110,,,
66822,12182,,,
75669,43200,,,
66824,41110,,,
66827,41220,,,
66826,41220,,,
66828,41220,,,
66829,41220,,,
87223,18151,,,
66835,72133,,,
66832,41220,,,
66830,41220,,,
66831,41220,,,
69711,60166,,,
66833,40363,,,
66834,41110,,,
75670,43200,,,
69712,60162,,,
75671,43200,,,
81424,30112,,,
87163,41110,,,
66836,73990,,,
66839,72133,,,
66837,73990,,,
69713,60164,,,
66838,73990,,,
70533,43174,,,
66840,72990,,,
77782,62131,,,
69714,60162,,,
70536,43174,,,
70535,43174,,,
70534,43174,,,
70537,43174,,,
87224,18165,,,
81458,32101,,,
66843,72140,,,
66841,72132,,,
67229,30170,,,
66857,14253,,,
66842,72140,,,
67228,83110,,,
66844,42133,,,
66845,62100,,,
70318,43152,,,
66858,14253,,,
67230,40113,,,
67640,71131,,,
67641,71131,,,
66853,30170,,,
66848,14253,,,
66846,72133,,,
66850,14253,,,
66847,14253,,,
66852,12180,,,
66849,71116,,,
66851,41211,,,
69715,60166,,,
66854,12183,,,
66855,12183,,,
66856,14253,,,
70726,71101,,,
66865,18992,,,
66885,17102,,,
66859,14253,,,
66862,72122,,,
66864,72122,,,
66860,72122,,,
66863,17182,,,
66861,17192,,,
66866,12183,,,
66867,12183,,,
75672,43270,,,
81459,32101,,,
66886,17103,,,
66887,17182,,,
69716,60163,,,
66875,72121,,,
66868,72990,,,
66871,62100,,,
66873,72121,,,
66869,12181,,,
66872,12183,,,
66870,12181,,,
66889,17192,,,
66888,17183,,,
66874,72121,,,
66876,12186,,,
87225,12220,,,
75673,43171,,,
69717,60183,,,
66879,73990,,,
66877,14253,,,
66881,12184,,,
66884,61220,,,
66878,14253,,,
66883,41110,,,
66880,41110,,,
66882,42201,,,
74104,63180,,,
69718,42203,,,
75619,43174,,,
74105,61140,,,
87226,15172,,,
85815,61990,,,
66897,12183,,,
66890,71116,,,
66893,17183,,,
66891,17181,,,
66896,41110,,,
66894,42133,,,
66892,17102,,,
66895,12180,,,
66898,12183,,,
81460,32101,,,
67642,70102,,,
69719,60162,,,
75674,43174,,,
66905,12184,,,
66899,41110,,,
66904,71116,,,
66902,12184,,,
66900,73990,,,
69720,60162,,,
66901,12184,,,
66903,71116,,,
75675,43172,,,
69721,60162,,,
81461,32101,,,
87227,12190,,,
82976,50130,,,
66906,12184,,,
66911,17137,,,
66909,17136,,,
66907,12180,,,
66910,17137,,,
66908,71116,,,
66912,17136,,,
66913,14253,,,
69722,60182,,,
75676,43173,,,
79290,60252,,,
87228,18232,,,
79291,60251,,,
79292,60250,,,
66914,14253,,,
69723,60182,,,
66917,17136,,,
66915,61990,,,
66919,31160,,,
66916,31160,,,
66918,17137,,,
75620,43174,,,
