product_id,taxon_id
5,71101
8,71101
2,10101
7,10101
4,71115
1,43152
6,43152
3,71101
9,71115
10,71101
11,43152
12,10101
13,71101
14,71115
15,71101
19,71115
17,10101
18,71101
20,71101
16,43152
9893,14101
24,71115
555,43152
23,71101
21,43152
22,10101
26,71103
10956,51140
25,71101
27,71134
3082,12184
790,72133
28,71134
34,71103
33,71101
29,71101
30,71101
1623,43152
37,71103
31,71101
534,40181
35,71103
36,71103
32,71101
535,42110
12932,43174
44,71103
41,71103
39,71101
45,71103
1090,10101
4358,50151
43,71101
40,71101
42,71101
556,10101
2691,43152
48,71101
46,71103
38,71103
47,71103
8947,71111
557,71101
1624,10101
53,71103
50,71103
55,71103
51,71101
54,71103
52,71101
58,71103
57,71101
59,71103
56,71101
60,71103
61,71101
49,71103
62,71115
15721,14111
64,71103
1091,71101
67,71103
2692,10101
70,71103
9453,43174
66,71103
65,71103
71,71103
72,71103
68,71103
69,71103
63,71103
4359,43130
77,71134
558,71115
76,71140
74,71103
78,71134
75,71101
80,71133
81,71133
82,71133
83,71106
79,71134
84,71106
85,71133
73,71103
8948,71111
2159,71101
1092,71115
91,71106
1625,71101
90,71133
3504,61131
88,71106
125,14253
124,14253
92,71115
87,71133
126,14253
127,17164
89,71133
86,71106
98,12181
97,12180
101,12181
1399,14253
793,72140
99,12181
94,12182
559,71101
95,71116
100,12181
93,12182
102,12185
103,12186
96,17137
3067,42133
109,31160
108,72121
1056,63113
107,40181
17069,60251
106,40181
1093,71101
105,31160
111,12182
110,12182
104,72122
112,12182
148,41110
115,72112
114,72990
122,14253
113,62173
595,71101
120,14253
560,71103
1626,71115
119,14253
116,18190
121,14253
123,14253
118,12188
117,18190
26066,62100
596,71115
129,72990
130,17182
136,72120
134,12182
1094,71103
133,61220
2160,71115
132,61220
137,72122
135,12182
128,17164
131,12183
15719,32111
140,17196
1627,71101
138,61220
142,12181
141,12181
139,61220
146,73990
561,71134
2694,71115
145,41110
144,72140
147,41110
143,12181
152,41211
2161,71101
153,41110
795,42133
154,41110
562,71134
1628,71103
150,41110
151,12183
796,62100
1095,71134
155,41110
7167,40203
149,41101
3069,42133
1096,71134
164,41211
563,71101
4361,43190
159,41110
157,41212
162,41110
160,41211
163,41110
165,41211
156,41110
161,41211
158,41110
12936,43172
797,72133
167,41211
173,41212
564,71101
1097,71101
171,12183
168,41211
166,41211
174,12188
170,41212
172,12183
175,12188
176,12182
169,41211
8952,71112
182,41212
181,41212
1629,71134
183,62100
179,41212
231,18261
178,73990
863,17136
565,71101
177,73990
180,41212
184,12186
185,41212
23665,63192
189,41212
192,41212
798,14253
190,41212
1098,71101
4362,43174
187,41212
2162,71103
193,41212
186,41212
188,41110
191,41212
194,41212
3084,14253
799,14253
204,17164
195,41211
566,71101
199,12181
1099,71101
201,62100
197,41212
202,41220
200,12181
203,62100
205,17164
196,41110
198,12184
47068,15202
567,71101
214,41220
213,12187
1630,71134
207,41220
2696,71103
212,12186
1100,71101
210,41213
209,41220
206,41220
208,41220
211,40363
1101,71101
215,40363
216,61220
219,41220
224,41220
864,14253
220,41220
217,41220
800,71116
221,17182
222,41220
223,41220
218,41220
8950,71112
865,14253
3085,12188
1631,71101
802,41211
804,30170
229,17182
226,17102
801,14253
3311,83110
227,41110
803,12180
230,41220
228,17164
225,17102
12937,43151
1102,71103
238,18261
237,18261
239,12182
597,71103
235,18261
4363,43190
234,18261
233,18261
236,18261
240,12182
241,41110
232,18261
242,41110
15726,18243
244,41220
248,41220
805,12183
246,41220
652,12188
249,41220
1632,71101
245,41220
250,40363
247,41220
251,41110
243,41220
8954,71111
31203,43120
1103,71103
270,30170
256,72133
266,71116
568,71103
1633,71101
254,73990
268,41211
269,12180
253,73990
255,73990
252,72133
267,14253
12938,43151
1634,71101
3086,12188
2165,71101
806,12183
261,42133
258,72132
260,72140
257,72990
263,72133
264,14253
265,14253
259,72140
262,62100
38040,12260
1104,71103
272,12183
279,72122
280,17182
275,14253
807,14253
273,14253
271,12183
276,14253
274,14253
278,17192
281,72122
349,18190
277,72122
4537,40160
282,18992
284,12183
2166,71101
286,12181
569,71103
289,12183
285,72990
291,72121
283,12183
290,72121
288,62100
292,72121
293,12186
287,12181
8960,71112
296,73990
295,14253
294,14253
302,17102
808,14253
301,61220
304,17182
570,71103
300,41110
297,41110
298,12184
299,42201
303,17103
305,17183
28122,18121
310,17183
809,14253
313,41110
307,71116
