product_id,taxon_id
17947,60103
1752,41110
2748,71134
2234,12181
1518,42132
1516,12188
1750,41110
7189,11126
6483,50160
1753,12183
1751,41101
1515,12188
1749,41110
1517,12183
12956,43152
51390,15105
2749,71134
1755,41110
1524,12182
1756,41110
1520,42300
1522,61220
2235,12181
1523,17100
4404,50160
1519,17104
1754,41211
1521,17154
8987,61261
2236,12181
1758,41110
2750,71133
9444,43173
4405,43174
1527,17170
1526,17170
1528,17170
1525,12186
1760,41110
1761,41110
1759,41212
1757,41110
52012,14252
1534,12188
1533,12188
2751,71133
1536,12188
4648,71134
2237,12181
1530,12183
1529,12183
1532,18141
1535,12188
1531,12188
1537,12188
2238,12185
1544,12184
1540,12188
1538,12188
4406,43190
1542,12188
1539,12188
20831,15112
1541,12188
1545,12184
1546,12183
1543,12188
1762,41211
12954,43152
1554,17196
1553,72140
1763,41211
2239,12186
4888,41211
2752,71133
1550,12183
1555,17192
1552,17138
1556,12180
1557,12180
1551,17111
1549,42161
8978,61103
1765,41110
1560,14253
1558,12183
2753,71106
1614,51181
1559,12183
1764,41110
1561,14253
1616,51182
1617,51182
1618,51181
1615,51181
15732,18243
4889,12180
4407,50160
2240,72122
7669,14113
1563,17138
1565,13165
1566,13165
1568,12181
1569,14253
1570,12183
1562,18190
1564,13165
1567,31160
1573,17111
4650,71101
1571,12183
2754,71106
1575,71116
1572,12183
1574,42140
1576,14253
1577,14253
1578,71116
1579,17196
1619,83111
1766,41211
7726,60184
1585,63113
4408,43174
1582,63113
1580,63113
1587,63113
1584,63113
1581,63113
1586,63113
1583,63113
1767,41211
1588,63113
1589,63113
1590,63113
1800,12184
8981,71111
1596,61121
1594,40181
1598,40182
4651,71101
2242,40181
1768,41211
2755,71133
18191,19102
1593,40204
1597,61121
1591,40203
1592,61121
1595,40322
3315,83110
2756,71106
1604,42162
1606,83111
1600,42142
16242,50202
1601,40181
1603,42110
1599,42170
1607,50202
1602,40181
1769,41211
1605,40203
32472,10151
2243,40181
1608,50201
4652,71101
1770,41211
4409,43174
1609,51182
20832,15111
1612,51181
1611,51181
1613,51181
1620,83111
1771,41211
1772,41212
1610,51182
17945,60103
8979,71110
1778,12182
1775,41212
1621,30994
2244,72121
2757,71133
1777,12188
1780,73990
1774,12183
1779,73990
1773,12183
1776,12188
1622,40322
52013,14252
2350,41220
31213,61103
2368,18261
2758,71106
1786,12186
1783,41212
1785,62100
1787,41212
1788,41212
4410,43190
1789,41212
1782,41212
1784,41212
50859,43151
1790,41110
1793,41212
2759,71133
1797,41211
4891,12183
2245,31160
1795,41212
1792,41212
1796,41212
1799,41212
1798,41110
1791,41212
1794,41212
1804,41220
2246,12182
1808,41220
1809,41220
2760,71133
1805,62100
1807,17164
20833,15114
7670,14113
4411,43174
1810,41220
1811,41220
1826,41220
1806,17164
8984,61263
2247,12182
1812,41213
1828,17102
9447,43172
1813,40363
2761,71106
1815,12187
1827,17102
1814,12186
4412,43173
1816,41220
1829,41110
1830,17164
17951,60101
1817,40363
2248,12182
1818,61220
2762,71115
1821,41220
11282,19125
1823,17182
4892,12183
1820,41220
1824,41220
1819,41220
1825,41220
1822,41220
40836,60184
1837,18261
1836,18261
2249,62173
1835,18261
7192,11126
1841,12182
1833,18261
4316,43173
1834,18261
1838,18261
1839,18261
1832,41220
1840,18261
1847,41220
2369,18261
1848,41220
1842,12182
2250,72990
8986,61263
1846,41220
1845,41220
1849,41220
4413,43172
1843,41110
1858,72133
1844,41110
21160,15111
1855,73990
1854,72133
1850,41220
2763,12182
1852,40363
1853,41110
1851,41220
7158,40203
1878,14253
1856,73990
1879,72122
1857,73990
1861,72140
1860,72132
1866,14253
1859,72990
2251,72112
17948,60101
3017,41213
1863,42133
1865,72133
1862,72140
4414,43171
1880,17192
1864,62100
62665,43174
1874,12183
1867,14253
1869,14253
1873,12183
9473,43152
1871,12180
1875,14253
2252,18190
2764,12182
1870,41211
1876,14253
1872,30170
1868,71116
1877,14253
8983,71111
38498,19114
1887,72990
1882,17182
9448,43174
4415,43190
1885,12183
1888,12181
1884,18992
2254,12188
1881,72122
1889,12181
2253,18190
1883,72122
1886,12183
12958,43230
4894,14253
1893,72121
4416,51250
1897,14253
1898,73990
2765,71116
1892,72121
1890,62100
1896,14253
1899,41110
1891,12183
1900,12184
1894,72121
1895,12186
1902,41110
1908,17192
4656,71103
1909,71116
1906,17182
1912,17183
1905,17103
2255,14253
1910,17181
2766,17137
1911,17102
1907,17183
1903,61220
1904,17102
8985,61263
1913,42133
2256,14253
1916,12183
17946,60103
4317,43270
1918,41110
1917,12183
1914,12180
1919,73990
4417,62124
1921,12184
1922,71116
1920,12184
1915,41110
1928,17136
1927,71116
2257,14253
1926,12180
2767,12180
3349,42250
1924,12184
1925,12184
1929,17137
1923,71116
1930,17137
1932,14253
1931,17136
23669,63192
