product_id,taxon_id,,,
3921,40120,,,
3055,60163,,,
11788,14162,,,
21264,41220,,,
226,18261,,,
6,43152,,,
4766,43174,,,
15986,43174,,,
10793,15231,,,
230,12182,,,
4,71115,,,
1,43152,,,
15153,43174,,,
11269,60252,,,
8,71101,,,
6709,70101,,,
5,71101,,,
6685,70101,,,
231,41110,,,
20,71101,,,
6690,70101,,,
3,71101,,,
6683,70101,,,
9,71115,,,
6697,70102,,,
7,10101,,,
6706,70101,,,
3203,70124,,,
3234,70102,,,
20261,63180,,,
10,71101,,,
2747,72103,,,
19818,70122,,,
1050,70102,,,
12310,60107,,,
3060,60231,,,
1054,70122,,,
44405,,,,
2731,72101,,,
19829,70122,,,
15041,70101,,,
19831,70122,,,
20707,70101,,,
20698,70101,,,
20710,70101,,,
7293,12132,,,
8744,43174,,,
13811,70101,,,
6680,63201,,,
7935,43174,,,
11830,15252,,,
13812,70101,,,
8743,43172,,,
3064,60162,,,
20751,70102,,,
13827,70101,,,
12998,60282,,,
16811,50152,,,
12311,60101,,,
14657,20173,,,
1222,16152,,,
13831,70101,,,
18374,63211,,,
20792,70102,,,
239,41220,,,
13845,70101,,,
245,73990,,,
13848,70101,,,
20793,70102,,,
14989,70101,,,
15001,70101,,,
15057,70133,,,
10500,71102,,,
19921,62161,,,
4978,19990,,,
3922,40140,,,
6535,61252,,,
15025,70101,,,
249,72140,,,
15056,70101,,,
5968,43152,,,
251,42133,,,
255,14253,,,
2884,14292,,,
42972,43120,,,
5154,71103,,,
5969,43152,,,
11272,60251,,,
5152,71103,,,
18377,63201,,,
274,12183,,,
1038,71148,,,
3091,60184,,,
3084,60181,,,
9172,43173,,,
11260,60261,,,
21,71101,,,
3096,60184,,,
284,14253,,,
1223,16152,,,
11384,60271,,,
19381,17103,,,
5300,14122,,,
3103,60182,,,
15250,43171,,,
2885,14292,,,
3105,60181,,,
11,43152,,,
11380,60271,,,
295,17183,,,
3115,60166,,,
6724,51230,,,
307,73990,,,
6536,61252,,,
2625,32122,,,
3133,60166,,,
15266,43174,,,
19287,50130,,,
3121,60162,,,
12,10101,,,
3130,60182,,,
11387,18132,,,
5301,14122,,,
321,14253,,,
317,17137,,,
9173,43174,,,
6737,51192,,,
15273,43174,,,
5302,14122,,,
11395,12111,,,
3139,60162,,,
11273,60251,,,
1224,16152,,,
15291,43152,,,
11399,12112,,,
18856,71121,,,
19389,17111,,,
3146,60162,,,
17519,14110,,,
6747,50210,,,
3152,60166,,,
13,71101,,,
19392,17164,,,
2626,99990,,,
16812,50152,,,
2886,14292,,,
346,17183,,,
3923,10131,,,
14,71115,,,
5975,40140,,,
7936,43220,,,
5031,61990,,,
6537,61252,,,
13006,60282,,,
29136,60190,,,
29137,60231,,,
7294,12132,,,
3153,60166,,,
4767,43174,,,
2887,14292,,,
20265,63180,,,
14877,32101,,,
347,18190,,,
15,71101,,,
11831,15251,,,
20266,63180,,,
2627,99990,,,
4974,19990,,,
348,17164,,,
7295,12132,,,
15155,43152,,,
13012,60131,,,
3154,60160,,,
11274,60251,,,
16371,50120,,,
15988,43172,,,
4975,19990,,,
6752,51181,,,
8757,10152,,,
39448,18134,,,
19288,50130,,,
19614,43130,,,
5032,61990,,,
16821,43120,,,
5989,43152,,,
2628,32123,,,
11401,14122,,,
11832,15254,,,
18375,71121,,,
2916,14302,,,
20269,63180,,,
2888,14292,,,
6753,51181,,,
16823,32140,,,
3924,43174,,,
16,71103,,,
4768,43174,,,
15292,43152,,,
41285,63202,,,
6538,61252,,,
4976,19990,,,
15293,43174,,,
1225,16151,,,
4989,19990,,,
13022,60212,,,
7937,41110,,,
15294,43174,,,
67,71134,,,
42975,43120,,,
15989,43171,,,
8764,10153,,,
17,71134,,,
349,17164,,,
42973,43120,,,
8765,80990,,,
