product_id,taxon_id
3,71115
6,71134
1,10101
5,71103
4,71101
2,71101
7,71134
11012,70101
8,71101
9,71101
10,71101
11,71101
11013,70101
14,71103
17,71103
12,71101
16,71103
15,71103
13,71103
889,13163
18,71101
19,71101
2042,14282
20,71103
21,71101
3120,71112
5640,43152
24,71103
22,71101
26,71103
25,71103
23,71103
29,71103
28,71103
890,14252
27,71101
30,71101
31,71101
4402,63193
2043,14284
7088,14101
8331,16112
32,71103
38,71103
35,71101
33,71103
37,71103
34,71103
891,14252
36,71101
39,71103
40,71101
41,71115
42,71103
2562,12173
9596,60145
45,71103
43,71103
50,71103
47,71103
44,71103
49,71103
46,71103
892,14252
48,71103
51,71103
52,71103
2044,14251
3121,71112
5641,43152
55,71103
4403,42201
53,71101
60,71134
57,71141
56,71103
54,71140
59,71134
58,71141
61,71134
12200,70102
62,71133
63,71133
1978,72122
70,71106
69,71133
64,71133
67,71133
65,71106
71,71133
68,71106
66,71106
72,71133
893,14252
73,71106
2045,14251
74,71115
3122,71112
7089,14122
82,12186
77,12181
75,12182
79,12181
76,12182
81,12185
78,12181
894,14252
80,12181
83,40181
84,31160
2046,14251
4404,42201
5642,43152
14355,18190
87,12182
92,12188
85,12182
895,13123
88,18190
86,12182
89,18190
91,12183
90,12180
93,14253
94,14253
3123,71112
95,14253
8332,14253
2047,14251
896,13112
96,14253
898,13124
97,14253
897,13124
899,13124
98,14253
900,13114
901,13114
3124,71111
902,42203
1470,51180
5557,43173
101,17164
104,71110
99,14253
103,17182
102,17164
100,14253
105,71110
2048,14251
5643,43151
106,71110
107,12182
7090,14122
108,61220
133,12188
2751,43173
111,73990
109,17196
903,13125
113,71110
110,72140
112,41101
2049,14251
114,12183
904,13115
905,13990
3125,71111
4405,63193
12201,50250
117,41110
115,41211
119,41110
116,41110
907,32113
118,41212
906,32113
120,41211
2050,14251
908,32113
909,32113
3126,71112
5644,43151
5279,70123
8333,18990
123,41211
126,41211
121,41110
125,41211
124,41211
122,41211
128,41212
127,41211
4406,50160
2051,14251
129,12183
130,12183
131,41212
132,12188
136,73990
134,17182
910,32113
138,41212
135,73990
137,41212
2009,70124
3127,71112
139,41212
911,32113
912,32113
913,13170
7091,14122
14356,17102
8334,18141
145,41212
142,41212
140,41212
2052,14252
144,41212
141,41212
143,41212
146,41212
147,41212
148,41212
3128,71112
149,41212
5645,43152
1471,51181
150,17138
153,62100
156,17164
151,12184
155,17164
154,62100
152,71110
914,13170
157,41220
158,12186
4407,51140
159,12187
2053,14251
170,17164
15000,12141
160,41220
166,41220
163,17182
161,41220
165,41220
162,41220
915,14251
164,41220
167,17102
168,17102
169,41110
3129,71112
5646,43152
7092,14122
12202,50250
916,14251
171,17182
918,13122
172,18261
917,13122
919,13122
173,18261
2054,14251
920,13122
921,14251
922,14251
3130,71110
176,18261
174,18261
181,12182
178,18261
177,18261
175,18261
180,12182
4408,51140
179,18261
182,41110
2055,14251
183,71110
184,72133
5647,43151
187,71110
185,72132
189,41220
188,41220
186,72140
192,14253
191,41220
923,13121
190,41220
3131,61180
193,14253
194,71116
7093,14122
8335,18141
197,61990
195,14253
235,17182
199,12183
198,41211
196,61990
201,14253
234,17103
200,14253
924,13121
202,61990
236,17183
2056,14251
237,17192
14357,17102
3105,70143
211,71110
208,17182
203,72122
206,71110
204,71110
210,71110
207,71110
205,71110
3132,71112
209,71110
212,71110
213,12183
925,13121
4409,51140
5648,43152
12203,50250
219,12186
216,72121
214,62100
218,72121
215,12183
926,13121
217,72121
220,18190
221,18190
2057,14251
222,18190
298,72122
2563,12172
225,12183
223,14253
230,12183
227,12183
224,14253
229,12186
226,12183
3133,71112
228,12186
232,42201
231,41110
927,13121
233,17102
7094,14122
238,17181
241,41110
244,71110
239,17102
242,12183
240,17183
243,71110
1075,43151
245,71110
246,12184
247,12184
2058,14251
248,71116
5649,43152
8336,10200
249,71116
255,17136
252,17136
250,12184
254,17137
251,12184
256,14253
253,17137
928,13121
3134,71112
257,14253
258,61990
4410,51140
261,31160
259,17136
263,12181
262,12181
260,17137
929,13102
2059,14252
264,12183
930,13102
3135,71112
5650,43151
2060,14252
7095,14122
12204,50250
934,18131
265,17182
931,18142
266,61252
933,18121
935,61103
267,61252
932,18121
3136,71112
4411,51140
936,18121
937,18121
5651,43152
2061,14252
270,14253
268,30120
275,17181
272,17182
269,14253
274,17182
271,61990
273,18190
276,17182
3137,71112
277,17181
278,17182
8337,10200
281,17164
284,17164
279,17183
282,17164
280,17164
283,17164
285,17164
938,18132
286,61990
287,14253
406,71116
2062,14251
4412,51140
14358,17102
290,31161
288,14253
295,42132
292,17181
289,14253
294,15171
291,42132
939,61103
293,15171
296,18190
297,42132
3138,71112
2063,14252
5652,43152
5607,43152
301,17183
304,61990
299,42132
303,61990
302,17111
300,42132
305,17164
306,42133
940,13122
7096,14122
307,42132
308,42132
5029,21123
314,42131
311,42131
309,42133
313,42133
310,42131
941,13122
312,42133
315,42133
316,42133
317,42133
413,63113
2064,14295
3139,61103
12205,50250
323,42133
320,42131
318,42133
322,42133
319,42131
942,13122
321,42133
324,42133
325,42133
326,42133
4413,51140
5653,43152
3140,71110
8338,10200
332,12181
329,12184
327,42133
943,13122
331,17136
328,42133
2065,14290
330,42133
333,12181
334,14253
335,12183
