parent_id,id,name,taxonomy_id
40,4099,Computer Hardware Other,40
41,4110,Disks,41
41,4111,Data Tapes & Cartridges,41
41,4121,Optical Disks,41
41,4122,USB Sticks,41
41,4199,Computer Media Supplies Other,41
41,4123,Transportable Media Devices,41
42,4210,Computer Bags,42
42,4211,Equipment Security,42
42,4213,Screen Filters,42
42,4214,Monitor Stands,42
42,4216,Wrist Rests/Mousemats,42
42,4217,Copyholders,42
42,4218,Dust Covers,42
42,4220,Storage for Media,42
42,4225,Computer Cleaning General,42
42,4230,Cable Management,42
42,4299,Computer Accessories Other,42
43,4310,Correctable Ribbons,43
43,4311,Lift Off Tapes,43
43,4312,Fabric Ribbons,43
43,4313,Thermal Ribbons,43
43,4314,Print Wheels,43
43,4315,Inkjet Cartridges,43
43,4317,Laser Toners,43
43,4318,Plotter Pens,43
43,4319,Drums,43
43,4320,Developers,43
43,4321,Printer Maintenance Kits,43
43,4322,Transfer Belts & Kits,43
43,4323,Fusers & Accessories,43
43,4324,Ozone Filters,43
43,4325,Imaging Units,43
43,4326,OPC Belts,43
43,4327,Waste Toners & Collectors,43
43,4328,Photoconductors,43
43,4329,Ink Sticks,43
43,4330,Process Units,43
43,4399,Printer/Fax/Copier/WP Supplies Other,43
44,4410,Database System Software,44
44,4411,Operating System Software,44
44,4412,Business Software,44
44,4413,Document Creation Software,44
44,4414,Drawing & Imaging Software,44
44,4415,Scheduling & Productivity Software,44
44,4416,Networking Software,44
44,4417,Communication Software,44
44,4418,Internet & Intranet Software,44
44,4419,Education & Training Software,44
44,4420,Entertainment Software,44
44,4421,Spreadsheet Software,44
44,4422,Programming Languages & Tools,44
44,4423,Software Utilities,44
44,4424,Labelling Software,44
44,4499,Computer Software Other,44
50,5010,Calculators/Adding Machines,50
50,5011,Calculators Accessories,50
50,5012,Dictation Machines,50
50,5013,Dictation Accessories,50
50,5014,Copiers,50
50,5015,Fax Machines,50
50,5016,Labelmakers,50
50,5017,Shredders,50
50,5018,Typewriters WPs,50
50,5019,Comb Binders,50
50,5020,Laminators,50
50,5021,Wire Binders,50
50,5022,Thermal Binders,50
50,5023,Telephones,50
50,5024,Cash Register/Tills,50
50,5025,Telephone Accessories,50
50,5026,Answer Machines,50
50,5027,Intercom Equipment,50
50,5028,Pagers,50
50,5029,Coil Binders,50
50,5030,Letter Folders,50
50,5090,Office Machine Services,50
50,5099,Office Machines Other,50
51,5110,Dictation Tapes,51
51,5112,Fax Rolls,51
51,5114,Labelmaker Tapes,51
51,5115,Shredder Supplies,51
51,5116,Telex Rolls,51
51,5117,Tally Rolls,51
51,5118,Binding Combs,51
51,5119,Laminating Pockets,51
51,5120,Binding Wires,51
51,5121,Velobind Strips,51
51,5122,Cover Boards,51
51,5123,Thermal Bind Covers,51
51,5124,Batteries,51
51,5125,Electrical Accessories,51
51,5126,Binding Coils,51
51,5199,Office Machine Supplies Other,51
60,6010,Desks,60
60,6011,Computer Workstations,60
60,6012,Conference Furniture,60
60,6013,Screens,60
60,6014,Tables,60
60,6015,Printer Stands,60
60,6016,Filing Cabinets,60
60,6017,Pedestals,60
60,6018,Cupboards/Lockers,60
60,6019,Bookcases,60
60,6020,Other Storage,60
60,6021,Canteen Furniture,60
60,6022,Office Trollies,60
60,6023,Furniture / Seating Accessories,60
60,6024,Management Seating,60
60,6025,Operator Seating,60
60,6026,Visitor Seating,60
60,6027,Conference Seating,60
60,6028,Educational Furniture,60
60,6090,Furniture Services,60
61,6110,Waste Bins,61
61,6111,Ashtrays,61
61,6112,Footrests & Stools,61
61,6113,Clocks,61
61,6114,Coat Stands,61
61,6115,Literature Holders,61
61,6116,Picture Frames,61
61,6117,Pictures,61
61,6118,General Signs,61
61,6119,Plants,61
61,6120,Lamps,61
61,6121,Uplighters,61
61,6122,Air Conditioners,61
61,6123,Fans,61
61,6124,Heaters,61
61,6125,Mats,61
61,6126,Bulbs,61
61,6127,Recycling Containers,61
61,6190,Office Environment Services,61
61,6199,Office Environment Other,61
62,6210,First Aid,62
62,6211,Torches,62
62,6212,I D Badges,62
62,6213,Cash/Document Boxes,62
62,6214,CCTV/Alarms/Detectors,62
62,6215,Key Security Systems,62
62,6216,Safety Signs,62
62,6218,Fire Extinguishers,62
62,6219,Safes & Locks,62
62,6290,Safety & Security Services,62
62,6299,Safety & Security Other,62
63,6311,Mailroom & Warehouse Furniture,63
63,6312,Packing Materials,63
63,6313,Packing Equipment,63
63,6314,Postal Tubes,63
63,6315,Packing Labels,63
63,6316,Rubber Bands,63
63,6317,Postal Scales,63
63,6318,Racking,63
63,6319,Storage Boxes,63
63,6320,Mail Trolley/Trucks,63
63,6321,Tools DIY,63
63,6322,Vehicle Equipment,63
63,6399,Mailroom & Warehouse Other,63
70,7010,Beverages,70
70,7011,Kitchen Appliances,70
70,7012,Food,70
70,7013,Drinks Dispensers,70
70,7014,Catering Sundries,70
70,7015,Catering Utensils,70
70,7090,Catering Services,70
70,7099,Catering Other,70
71,7110,Cleaning Products,71
71,7111,Cleaning Equipment,71
71,7112,Rubbish Bins,71
71,7113,Sanitary Refills,71
71,7114,Sanitary Dispensers,71
71,7115,Hand Dryers,71
71,7199,Janitorial Other,71
72,7210,Safety Footwear,72
72,7211,Head Protection,72
72,7212,Ear Protection,72
72,7213,Eye/Face Protection,72
72,7214,Respiratory Protection,72
72,7215,Hand Protection,72
72,7299,Other,72
73,7310,Fleeces,73
73,7311,Sweatshirts,73
73,7312,Polo Shirts,73
73,7313,Trousers,73
73,7314,Jackets,73
73,7315,Footwear Non-Safety,73
73,7399,Other,73
80,8016,Bespoke Labels,80
80,8017,Office Forms,80
80,8018,Manuals,80
80,8019,Greeting Cards,80
80,8020,Colour Brochures,80
80,8021,Folders,80
80,8099,Bespoke Printing Other,80
81,8110,Bespoke Clothing,81
81,8111,Bespoke Pens,81
81,8112,Bespoke Binders,81
81,8113,Bespoke Umbrellas,81
81,8199,Business Gifts Other,81
83,8310,Mobile Phones,83
83,8311,Mobile Phone Accessories,83
83,8312,Media Players,83
83,8313,Media Player Accessories,83
83,8314,Satellite Navigators,83
84,8410,Party Supplies,84
99,9990,General Services,99
99,9999,Unclassified L3,99
